RowName,FacilityId,Number,Name,District,Position,HeightMeters,Stories,FootprintMeters,AreaSquareFeet,ArchNotes
prism_gateway_hq,prism_gateway_hq,1,"Prism Gateway HQ",utility_data,"(X=220,Y=585)",18,4,"(X=91.4,Y=45.7)",180000,"Prismatic crystalline crown, full-height curtain wall, stepped upper floors, grand lobby atrium. Signature gateway to the data district."
neural_block_data_center,neural_block_data_center,2,"Neural Block Data Center",utility_data,"(X=390,Y=555)",24,4,"(X=219.5,Y=109.7)",1036800,"Dominant mega-structure. Dark metal cladding, minimal fenestration, extensive rooftop mechanical. 96MW critical IT capacity. Largest building on campus."
vault_archive,vault_archive,3,"The Vault Archive",utility_data,"(X=110,Y=548)",16.5,3,"(X=54.9,Y=36.6)",64800,"Compact vault form, heavily reinforced. Near-featureless exterior with security berm, blast-rated walls, single controlled entry."
royal_library_academy,royal_library_academy,4,"Royal Library and Academy",governance_knowledge,"(X=545,Y=600)",18,4,"(X=97.5,Y=51.8)",217600,"Civic landmark. Classical-modern fusion with generous colonnade, barrel-vaulted central reading hall, grand public stair, warm stone cladding."
nexus_labs_media_studio,nexus_labs_media_studio,5,"Nexus Labs Media Studio",governance_knowledge,"(X=462,Y=530)",13.5,3,"(X=76.2,Y=48.8)",120000,"Contemporary media studio. Horizontal ribbon windows, dark glass with metal fins, large cantilevered canopy with digital media screen."
animus_prime_robotics_factory,animus_prime_robotics_factory,6,"Animus Prime Robotics Factory",manufacturing_logistics,"(X=190,Y=375)",24,3,"(X=152.4,Y=61.0)",300000,"Large-span industrial with dramatic sawtooth monitor roof. High-bay volumes for robotic assembly lines. Covered loading bays on north facade."
vector_shift_logistics_hub,vector_shift_logistics_hub,7,"Vector Shift Logistics Hub",manufacturing_logistics,"(X=108,Y=248)",21,3,"(X=109.7,Y=54.9)",194400,"Logistics distribution center. Extensive truck court, multiple dock doors, overhead bridge connection to robotics factory."
gaia_synthesis_vertical_farm,gaia_synthesis_vertical_farm,8,"Gaia Synthesis Vertical Farm",bioenergy_farm_lifescience,"(X=858,Y=572)",12,2,"(X=91.4,Y=61.0)",120000,"Landmark greenhouse. Full-height glass enclosure reveals stacked growing levels. Living wall on south facade. Glowing green at night from grow lights."
vital_helix_bio_research_lab,vital_helix_bio_research_lab,9,"Vital Helix Bio-Research Lab",bioenergy_farm_lifescience,"(X=898,Y=433)",13.5,3,"(X=85.3,Y=54.9)",151200,"Biomorphic plan with helix-referencing entry canopy. Clean white cladding with horizontal ribbon windows. Visible rooftop mechanical plant."
civic_core,civic_core,10,"Civic Core",public_wellness,"(X=565,Y=370)",13.5,3,"(X=67.1,Y=42.7)",92400,"Campus civic center. Central glazed dome acts as beacon. Radiating colonnade defines circular public plaza. Primary social hub."
kinetic_edge_wellness_center,kinetic_edge_wellness_center,11,"Kinetic Edge Wellness Center",public_wellness,"(X=432,Y=292)",10,2,"(X=97.5,Y=67.1)",140800,"Large-span wellness facility with sweeping curved shell roof. Generous perimeter glazing. Outdoor fitness terrace. Pool wing with tall clerestory."
observatory_sky_deck,observatory_sky_deck,12,"Observatory and Sky Deck",public_wellness,"(X=718,Y=448)",10,2,"(X=48.8,Y=30.5)",32000,"Compact observatory with signature silver dome. Surrounding sky-deck terrace on upper level. Dark glazed base contrasts with bright dome."
forge_materials_lab,forge_materials_lab,13,"Forge Materials Lab",public_wellness,"(X=657,Y=292)",11,2,"(X=91.4,Y=54.9)",108000,"Materials testing laboratory. Warm corten-toned metal cladding. Exposed testing bays visible through large glazed openings. Adjacent outdoor materials yard."
aether_link_tower,aether_link_tower,14,"Aether Link Tower",public_wellness,"(X=592,Y=445)",22,4,"(X=36.6,Y=36.6)",57600,"Landmark communication tower with square plan rotated 45°. Polished glass curtain wall. Tall communications mast extends 30m above roof. Campus beacon."
habitat_eco_residential_commons,habitat_eco_residential_commons,15,"Habitat Eco-Residential Commons",visitor_hotel_mobility_residential,"(X=798,Y=212)",14,4,"(X=106.7,Y=70.1)",322000,"Residential commons with U-shaped courtyard. Warm terracotta cladding with deep balconies. Green living terraces step down on south face. Solar pergola."
nexus_transportation_hub,nexus_transportation_hub,16,"Nexus Transportation Hub",visitor_hotel_mobility_residential,"(X=932,Y=155)",14,2,"(X=106.7,Y=54.9)",126000,"Multi-modal transit hub with dramatic arching steel and glass roof. Platform at grade, mezzanine concourse above. Drop-off loop at south."
sentinel_security_command,sentinel_security_command,17,"Sentinel Security Command",manufacturing_logistics,"(X=302,Y=503)",8,2,"(X=76.2,Y=45.7)",75000,"Compact security command center. Minimal glazing, dark reinforced concrete. Rooftop surveillance mast. Vehicle barriers at perimeter."
foundry_manufacturing_district,foundry_manufacturing_district,18,"Foundry Manufacturing District",manufacturing_logistics,"(X=322,Y=268)",24,3,"(X=152.4,Y=91.4)",450000,"Largest industrial building. Multiple sawtooth monitor bays create dramatic skyline. Exhaust stacks rise from roof. Heavy freight access all sides."
juris_guard_center,juris_guard_center,19,"Juris Guard Center",governance_knowledge,"(X=635,Y=582)",13.5,3,"(X=67.1,Y=33.5)",72600,"Legal and compliance center. Restrained civic architecture with stone-like cladding. Secure entry sequence. Court wing expressed with taller volume."
cognara_mind_institute,cognara_mind_institute,20,"Cognara Mind Institute",governance_knowledge,"(X=722,Y=568)",13.5,3,"(X=76.2,Y=39.6)",97500,"Advanced AI cognition institute. Calm white palette with floating roof plane. Meditation courtyard at center. Lab wing has specialized shading."
signal_velocity_center,signal_velocity_center,21,"Signal Velocity Center",governance_knowledge,"(X=780,Y=490)",13.5,3,"(X=61.0,Y=36.6)",72000,"Telecommunications and signal engineering hub. Dark glass with vertical metal fins. Rooftop antenna array for signal research."
eon_core_systems_house,eon_core_systems_house,22,"Eon Core Systems House",governance_knowledge,"(X=668,Y=487)",13.5,3,"(X=67.1,Y=39.6)",85800,"Systems integration and controls hub. Silver metal facade. Expressed control-room wing with smaller punched windows."
nomad_nexus_mobility_lab,nomad_nexus_mobility_lab,23,"Nomad Nexus Mobility Lab",manufacturing_logistics,"(X=395,Y=433)",13.5,3,"(X=67.1,Y=36.6)",79200,"Autonomous mobility lab. Rooftop test track for robot and vehicle testing. Drone landing pad. Large vehicle-door openings."
kinetic_energy_operations_center,kinetic_energy_operations_center,24,"Kinetic Energy Operations Center",bioenergy_farm_lifescience,"(X=978,Y=358)",9,2,"(X=61.0,Y=45.7)",60000,"Kinetic energy monitoring and operations. Demonstration plaza with kinetic tile pavement. Large solar canopy over entry."
gaia_synthesis_bio_energy_center,gaia_synthesis_bio_energy_center,25,"Gaia Synthesis Bio-Energy Center",bioenergy_farm_lifescience,"(X=975,Y=232)",10,2,"(X=79.2,Y=61.0)",104000,"Bio-energy and water polishing center. Algae cultivation visible in luminescent green ponds. Biogas plant as compact cylindrical element. CHP plant."
central_utility_plant,central_utility_plant,26,"Central Utility Plant",utility_data,"(X=80,Y=618)",12,2,"(X=67.1,Y=45.7)",66000,"Campus central utility plant. Utilitarian industrial form. Adjacent substation yard with transformers. Large cooling towers at north end."
emergency_operations_center,emergency_operations_center,27,"Emergency Operations Center",utility_data,"(X=80,Y=512)",8,2,"(X=61.0,Y=36.6)",48000,"Hardened emergency operations facility. Blast-resistant construction visible in thick wall reveals. Emergency generator yard at rear."
